spectral_centroid,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
1803.800200335076,123.046875,-166.42174,122.12508,-32.114124,16.680294,-5.4001336,-2.4928677,-9.827045,-4.8984995,-6.967043,-4.571454,-6.6540885,-5.4923553,-5.371946,-4.96042,-2.7898908,-3.1823907,-4.077293,-3.5514786,-4.6443353,-1.1656524,classical
1285.3702594238277,117.45383522727273,-360.83868,138.97086,-12.927217,33.778614,7.5961585,-1.7088121,1.0270188,4.0721283,3.938996,0.9415783,0.5166481,4.6864805,3.3365965,-2.258434,-1.8506907,2.2213337,1.7878121,-1.5119549,-3.2532809,4.000858,classical
1396.7128037657276,112.34714673913044,-358.75812,129.07834,-30.378685,19.878695,-10.365977,-0.64960116,-10.599927,1.5427625,-3.966615,1.871792,-8.833108,-7.1691923,-8.212051,-5.9446435,-0.11743277,4.2815914,8.96935,12.804059,14.700517,11.517032,classical
1279.5154519537928,143.5546875,-324.6393,147.81375,-31.926256,27.40502,-4.5023103,-4.168801,-12.59746,-5.1306887,-7.7447653,0.8444132,-8.192252,-0.82764465,0.992377,3.6696348,6.2068086,4.7327385,-0.016714003,-2.316767,2.226849,-0.5663225,classical
790.5070052979643,107.666015625,-437.6044,170.93153,7.4195805,-3.0834732,0.78938216,-11.128749,-12.522781,-6.907836,-5.858702,-8.461237,-8.481487,-8.339389,-7.378575,-6.732569,-6.086592,-7.0612326,-6.655327,-4.290077,-4.3928785,-4.9066057,classical
950.1801498031009,151.99908088235293,-385.35324,177.20355,-9.33685,24.37912,5.7992835,-4.5660625,-6.359218,-6.949474,-4.122529,3.8736925,-0.3393097,-0.93730885,-3.6557696,-2.0853574,3.6453395,0.72044665,-1.2326814,-0.734855,2.8068602,1.5366434,classical
1361.006486221469,117.45383522727273,-324.09125,133.56267,-25.030157,24.55361,-11.939921,17.6585,-5.5186734,1.7168901,-10.575926,-0.86057454,-7.80522,3.5297625,5.0546646,1.3707234,3.0050097,-3.1251519,-4.289579,0.5940247,2.877037,0.37455818,classical
1514.0972710756876,143.5546875,-124.04526,148.59566,-21.581469,17.421335,-1.415515,4.1239476,-7.0207763,-5.1447287,-5.845648,5.0245104,-6.226354,-1.9116533,-0.90014344,-2.4146566,-4.3259144,-0.87254643,-4.684666,-2.2506363,-5.178997,-3.2176046,classical
1525.7917091607942,107.666015625,-246.15865,149.42867,-41.988865,11.606256,-10.289647,-4.0193577,-7.1368546,-10.135562,-9.420323,-7.171843,-3.1583679,-5.640657,-2.586296,-4.5179677,-6.15867,-4.9699883,-3.3515992,-3.3474395,-0.6742246,0.22038998,classical
1505.3574604811186,95.703125,-268.21857,135.68166,-34.056377,25.616009,-12.971723,17.903263,-9.99086,5.634088,-14.143673,7.4931846,-3.9764395,8.258308,-1.3336011,-0.35799518,1.0361009,3.796822,-0.3184709,1.7730546,0.8887212,-0.83507764,classical
1474.7414794976396,92.28515625,-305.44928,135.9327,-11.758563,18.213852,10.375582,3.0047126,-5.5933824,0.14134432,-1.354128,-1.8684577,-3.2081378,-6.7502136,-2.693773,-5.5951657,-4.5273905,-4.786104,-5.3624263,-2.6244025,-5.8322325,-6.9237723,classical
1340.8675515904304,117.45383522727273,-238.74171,149.72977,-28.855423,28.25653,-0.80010927,-3.9364913,-2.1363714,-4.325534,-4.18362,-3.438125,-5.753285,-0.09010243,2.5456483,0.6913521,0.058994893,1.6971146,0.6599608,1.4763626,-1.8393981,-6.2603865,classical
1800.8758120131474,117.45383522727273,-422.54468,89.863014,-18.73295,37.771908,6.0063467,4.1578536,-1.9991794,12.114278,4.1649365,13.789986,2.8316238,5.8929043,6.113412,8.139939,12.349802,7.0948405,2.4155457,0.7799823,-3.4144511,-0.74397635,classical
1397.3892884939066,143.5546875,-269.7108,136.43422,-25.016579,26.403866,0.6810673,-5.372084,-1.1092931,-1.4986668,-0.17736816,-3.8057551,-9.296668,-3.144398,1.6502774,0.6855278,1.9191817,2.2458496,-2.1271434,-3.6759648,-1.0782663,3.538287,classical
1279.4808753417974,112.34714673913044,-275.9678,146.32536,-36.601395,24.209837,-2.5517094,-2.155176,-13.30885,-6.500922,-9.406593,-3.1215196,-11.546325,-4.1899295,-1.6999393,-1.538669,-3.2080781,-1.7669358,-2.253068,-3.546489,-2.9921756,-3.2847002,classical
1063.396723083687,123.046875,-249.65216,161.55922,10.15452,-3.0576775,-0.57357925,-2.0703812,-12.197371,-8.612417,-14.639438,-12.04864,-12.293452,-7.161874,-7.8807273,-2.0839581,-2.911288,-0.8683673,-3.9744012,-0.89096886,-3.9901187,-3.897413,classical
983.9717194937225,117.45383522727273,-406.84668,163.08134,-2.3728123,32.416626,7.946261,9.632712,-5.45672,9.490358,-3.0608041,10.187205,-10.35241,-5.4048333,-8.054706,-2.0800178,0.38396126,3.4084778,3.5028331,7.3793283,6.4318557,0.18572581,classical
